ID   INV_DATE      AMOUNT   ACCT_NO
772   02/15/2011   175384   CODDA17
773   10/20/2009   172888   CODDA17
774   03/24/2010   106888   CODDA19
775   03/15/2011   205982   CODDA19
776   07/14/2009   187143   CODDA15
777   05/22/2011   154682   CODDA13
778   11/28/2009   276337   CODDA20
779   10/30/2009   168806   CODDA12
780   07/17/2009   222413   CODDA18
781   05/23/2010   241591   CODDA11
782   09/27/2009   278759   CODDA12
783   10/05/2010   253795   CODDA16
784   08/21/2009   165372   CODDA19
785   12/22/2009   275517   CODDA17
786   06/01/2010   105399   CODDA13
787   08/03/2010   210545   CODDA12
788   09/08/2009   107002   CODDA18
789   10/30/2009   106846   CODDA18
790   11/10/2010   269736   CODDA17
791   01/10/2010   285069   CODDA18
792   03/08/2011   119246   CODDA12
793   04/05/2010   162380   CODDA18
794   11/16/2009   155727   CODDA18
795   07/26/2010   251569   CODDA12
796   06/09/2010   125673   CODDA15
797   04/29/2011   196425   CODDA13
798   01/14/2010   193875   CODDA13
799   12/22/2010   204802   CODDA15
800   09/14/2010   152790   CODDA16
801   03/22/2010   136413   CODDA17
802   08/21/2009   257193   CODDA17
803   11/01/2009   119894   CODDA12
804   11/29/2010   228418   CODDA20
805   01/20/2010   273992   CODDA15
806   11/15/2009   229684   CODDA15
807   09/07/2009   226197   CODDA13
808   12/07/2010   237892   CODDA20
809   01/20/2011   161342   CODDA12
810   08/08/2009   212142   CODDA14
811   05/04/2011   287234   CODDA18
812   08/10/2010   211426   CODDA14
813   01/04/2011   225115   CODDA11
814   02/06/2010   101889   CODDA12
815   09/25/2009   103468   CODDA12
816   10/22/2009   273656   CODDA19
817   02/05/2010   114953   CODDA14
818   10/23/2009   247841   CODDA20
819   11/26/2010   210756   CODDA20
820   04/16/2011   107272   CODDA12
821   03/14/2011   195965   CODDA13
822   05/23/2011   220016   CODDA13
823   06/22/2011   132139   CODDA12
824   08/08/2009   219918   CODDA16
825   07/07/2009   116624   CODDA11
826   08/27/2010   163425   CODDA14
827   01/24/2010   257813   CODDA18
828   06/22/2010   144935   CODDA14
829   12/08/2010   181289   CODDA18
830   10/18/2009   206735   CODDA17
831   07/26/2010   112264   CODDA18
832   07/31/2010   243529   CODDA19
833   01/12/2010   251204   CODDA15
834   03/11/2011   250812   CODDA13
835   07/28/2009   207493   CODDA12
836   08/11/2009   144508   CODDA13
837   01/02/2011   116547   CODDA14
838   01/02/2010   234280   CODDA20
839   07/13/2009   213592   CODDA18
840   10/03/2009   169043   CODDA14
841   11/10/2009   114768   CODDA13
842   01/15/2011   159363   CODDA16
843   11/18/2010   146155   CODDA16
844   09/16/2009   133446   CODDA14
845   05/08/2010   178064   CODDA14
846   11/24/2009   163739   CODDA15
847   07/31/2009   208657   CODDA14
848   05/24/2011   186935   CODDA16
849   01/07/2011   110269   CODDA12
850   06/23/2011   213430   CODDA13
851   11/29/2009   154569   CODDA16
852   11/21/2009   275553   CODDA12
853   06/13/2011   145530   CODDA19
854   10/15/2010   275264   CODDA14
855   12/30/2009   117702   CODDA19
856   04/18/2011   177955   CODDA17
857   06/29/2010   156007   CODDA12
858   05/19/2010   189298   CODDA16
859   10/12/2009   252364   CODDA13
860   04/10/2010   247358   CODDA18
861   11/27/2010   283227   CODDA16
862   05/06/2011   218590   CODDA17
863   03/15/2010   220286   CODDA17
864   06/20/2011   180198   CODDA14
865   02/26/2010   220136   CODDA13
866   05/18/2011   254482   CODDA19
867   01/04/2010   214009   CODDA14
868   07/14/2009   213231   CODDA19
869   08/07/2010   288318   CODDA20
870   04/16/2011   221237   CODDA12
871   02/19/2010   132081   CODDA13
872   03/19/2010   188232   CODDA19
873   06/11/2010   227912   CODDA18
874   01/14/2010   185007   CODDA13
875   07/09/2010   193501   CODDA12
876   01/21/2011   297042   CODDA15
877   08/04/2009   154687   CODDA11
878   07/29/2010   173019   CODDA19
879   07/09/2010   147128   CODDA15
880   09/20/2009   262319   CODDA18
881   10/25/2010   190580   CODDA12
882   08/23/2009   218790   CODDA15
883   05/07/2010   258573   CODDA13
884   10/10/2010   275750   CODDA11
885   01/09/2010   167805   CODDA13
886   05/13/2010   193966   CODDA16
887   01/31/2011   191465   CODDA15
888   06/04/2011   147823   CODDA16
889   03/28/2011   215233   CODDA20
890   02/15/2011   244355   CODDA20
891   01/10/2010   273302   CODDA19
892   09/18/2010   204510   CODDA15
893   03/30/2010   218329   CODDA14
894   05/30/2011   174637   CODDA15
895   11/07/2009   265195   CODDA16
896   01/20/2010   162225   CODDA15
897   05/26/2010   266503   CODDA16
898   09/07/2010   234426   CODDA19
899   04/18/2010   154772   CODDA15
900   05/09/2010   279473   CODDA14
901   11/13/2010   208506   CODDA16
902   04/02/2011   178329   CODDA18
903   07/03/2011   215687   CODDA12
904   06/18/2011   167335   CODDA14
905   04/13/2010   217938   CODDA17
906   06/11/2010   190172   CODDA13
907   06/11/2011   151727   CODDA17
908   02/23/2011   252428   CODDA13
909   07/30/2010   267664   CODDA15
910   02/14/2011   172565   CODDA14
911   05/15/2010   141775   CODDA18
912   10/12/2010   186150   CODDA14
913   10/02/2010   258603   CODDA12
914   01/07/2011   191416   CODDA14
915   07/28/2010   279549   CODDA18
916   11/09/2010   170720   CODDA20
917   12/22/2009   296139   CODDA15
918   08/02/2009   113065   CODDA17
919   03/25/2010   148562   CODDA16
920   10/17/2010   202744   CODDA17
921   04/15/2011   101013   CODDA12
922   09/20/2009   196803   CODDA18
923   01/25/2010   287269   CODDA20
924   09/01/2010   210213   CODDA14
925   06/27/2011   209238   CODDA15
926   07/14/2010   246404   CODDA12
927   02/11/2011   270963   CODDA14
928   02/06/2011   258470   CODDA17
929   11/16/2010   135472   CODDA15
930   08/29/2010   174280   CODDA16
931   02/28/2011   193621   CODDA15
932   07/09/2010   249505   CODDA18
933   05/05/2011   299469   CODDA17
934   06/13/2010   264050   CODDA15
935   11/20/2010   267347   CODDA16
936   11/26/2009   177204   CODDA16
937   01/05/2010   286111   CODDA15
938   05/12/2011   132742   CODDA18
939   06/03/2011   293442   CODDA16
940   11/28/2010   230349   CODDA14
941   01/18/2011   114526   CODDA16
942   12/13/2010   232048   CODDA17
943   02/14/2011   231403   CODDA11
944   07/25/2010   202906   CODDA13
945   02/16/2011   144612   CODDA12
946   02/25/2011   226437   CODDA14
947   07/27/2009   232486   CODDA13
948   11/08/2009   184941   CODDA14
949   08/12/2010   100455   CODDA16
950   10/30/2010   287696   CODDA13
951   07/29/2009   190654   CODDA20
952   02/08/2010   185323   CODDA16
953   07/28/2009   125338   CODDA17
954   12/21/2009   299001   CODDA15
955   06/19/2011   206112   CODDA18
956   01/11/2011   129285   CODDA19
957   02/22/2011   192109   CODDA11
958   06/27/2009   163047   CODDA13
959   04/11/2010   117531   CODDA19
960   09/12/2010   184817   CODDA14
961   11/19/2009   260671   CODDA15
962   01/13/2011   250469   CODDA11
963   02/02/2010   180534   CODDA14
964   11/13/2009   245921   CODDA18
965   11/17/2010   225487   CODDA16
966   08/07/2009   128018   CODDA15
967   10/22/2010   295564   CODDA17
968   03/20/2011   183577   CODDA13
969   06/10/2011   212882   CODDA18
970   12/02/2009   106289   CODDA15
971   06/08/2010   184223   CODDA14
972   12/14/2009   186299   CODDA14
973   02/15/2011   225374   CODDA13
974   05/03/2010   266620   CODDA20
975   09/07/2010   155843   CODDA14
976   05/04/2011   146627   CODDA20
977   04/17/2010   267507   CODDA20
978   06/28/2010   108479   CODDA14
979   11/26/2010   177215   CODDA18
980   07/17/2009   126593   CODDA16
981   07/31/2010   298187   CODDA19
982   04/12/2010   164852   CODDA16
983   02/24/2010   112749   CODDA19
984   07/11/2010   126314   CODDA19
985   12/16/2009   265640   CODDA19
986   04/23/2010   225535   CODDA15
987   04/10/2010   285013   CODDA12
988   05/30/2010   162369   CODDA19
989   08/28/2010   198068   CODDA17
990   02/09/2010   166330   CODDA15
991   08/15/2010   225818   CODDA16
992   12/26/2010   212103   CODDA16
993   07/15/2010   168079   CODDA15
994   02/26/2010   131981   CODDA12
995   03/31/2010   285900   CODDA18
996   12/22/2010   245980   CODDA11
997   03/19/2011   175982   CODDA15
998   08/12/2010   208964   CODDA15
999   04/19/2010   187195   CODDA12
1000   01/28/2010   115603   CODDA19
1001   10/19/2009   116434   CODDA15
1002   09/16/2009   267838   CODDA12
1003   02/11/2010   260626   CODDA18
1004   04/22/2011   159009   CODDA13
1005   11/05/2009   263026   CODDA14
1006   05/23/2010   149162   CODDA15
1007   09/07/2009   210213   CODDA14
1008   07/09/2010   267274   CODDA18
1009   04/22/2010   221902   CODDA13
1010   09/14/2009   168823   CODDA16
1011   05/12/2010   130659   CODDA19
1012   07/03/2009   167495   CODDA16
1013   03/28/2011   148097   CODDA16
1014   04/07/2011   200969   CODDA20
1015   02/24/2011   299686   CODDA13
1016   12/01/2009   145645   CODDA19
1017   09/03/2009   166633   CODDA20
1018   07/06/2010   268825   CODDA18
1019   07/10/2010   224571   CODDA16
1020   07/20/2009   236544   CODDA15
1021   08/18/2009   292680   CODDA11
1022   08/21/2010   283753   CODDA14
1023   11/30/2009   190456   CODDA12
1024   08/30/2009   173848   CODDA19
1025   03/08/2010   165999   CODDA12
1026   04/14/2011   179546   CODDA11
1027   06/24/2011   129447   CODDA11
1028   07/31/2009   176618   CODDA15
1029   03/11/2011   176548   CODDA18
1030   10/28/2009   182218   CODDA15
1031   10/12/2010   243581   CODDA14
1032   01/19/2011   277782   CODDA16
1033   02/27/2010   223726   CODDA20
1034   02/24/2010   202001   CODDA15
1035   08/28/2009   267039   CODDA14
1036   11/29/2010   223155   CODDA16
1037   09/26/2009   142860   CODDA18
1038   09/28/2010   249490   CODDA18
1039   10/24/2009   287865   CODDA19
1040   12/07/2009   148689   CODDA19
1041   01/27/2011   164403   CODDA15
1042   02/04/2010   134734   CODDA19
1043   02/24/2010   113410   CODDA16
1044   08/27/2009   171007   CODDA20
1045   04/30/2010   210280   CODDA17
1046   06/20/2010   204070   CODDA17
1047   01/10/2010   155303   CODDA14
1048   07/07/2009   111811   CODDA18
1049   02/01/2010   143631   CODDA14
1050   10/20/2010   299766   CODDA11
1051   05/30/2010   237226   CODDA14
1052   10/07/2009   290694   CODDA12
1053   11/21/2010   108628   CODDA18
1054   03/13/2010   129708   CODDA15
1055   02/28/2010   109536   CODDA14
1056   07/18/2009   140928   CODDA14
1057   11/12/2010   152316   CODDA18
1058   01/11/2010   227921   CODDA18
1059   09/10/2009   275384   CODDA15
1060   08/08/2009   188176   CODDA12
1061   12/08/2010   219531   CODDA17
1062   10/28/2010   205524   CODDA18
1063   06/30/2010   213327   CODDA11
1064   10/25/2010   239070   CODDA11
1065   08/30/2010   279808   CODDA19
1066   09/06/2010   194429   CODDA13
1067   07/24/2010   161992   CODDA16
1068   09/01/2010   209884   CODDA13
1069   08/31/2010   122810   CODDA12
1070   01/05/2011   150283   CODDA17
1071   01/11/2010   136444   CODDA18
1072   02/09/2010   112962   CODDA14
1073   07/13/2010   101593   CODDA20
1074   08/12/2010   150005   CODDA17
1075   06/15/2011   135552   CODDA18
1076   11/23/2009   166608   CODDA19
1077   10/12/2010   164249   CODDA12
1078   06/06/2010   121543   CODDA20
1079   01/08/2011   287097   CODDA12
1080   10/05/2010   254587   CODDA15
1081   05/29/2010   233314   CODDA16
1082   01/19/2010   129961   CODDA19
1083   07/12/2009   122146   CODDA15
1084   08/23/2010   101368   CODDA17
1085   02/01/2011   119867   CODDA17
1086   05/29/2010   255853   CODDA19
1087   05/21/2011   142201   CODDA17
1088   04/09/2011   296793   CODDA16
1089   10/08/2009   257799   CODDA17
1090   09/03/2009   211794   CODDA15
1091   12/14/2009   130070   CODDA16
1092   09/20/2010   205653   CODDA12
1093   06/27/2009   281431   CODDA14
1094   07/30/2010   205657   CODDA14
1095   10/25/2009   148694   CODDA18
1096   06/05/2010   225455   CODDA13
1097   11/05/2010   280776   CODDA17
1098   10/12/2009   123201   CODDA16
1099   01/06/2011   224507   CODDA16
1100   07/19/2010   265481   CODDA15
1101   12/11/2009   298836   CODDA13
1102   07/11/2010   174197   CODDA18
1103   09/30/2010   116640   CODDA14
1104   07/28/2009   148255   CODDA17
1105   03/19/2011   131155   CODDA13
1106   11/10/2009   283424   CODDA11
1107   06/23/2010   275647   CODDA18
1108   10/24/2010   178058   CODDA14
1109   06/30/2011   225255   CODDA14
1110   07/14/2009   204424   CODDA14
1111   06/17/2011   267613   CODDA17
1112   07/24/2009   168842   CODDA11
1113   02/10/2010   135623   CODDA20
1114   01/18/2011   150489   CODDA14
1115   03/18/2010   143856   CODDA12
1116   04/25/2010   178968   CODDA13
1117   07/08/2011   164244   CODDA14
1118   06/04/2011   250322   CODDA13
1119   06/11/2011   231928   CODDA15
1120   12/08/2009   205222   CODDA18
1121   07/01/2010   206026   CODDA18
1122   07/02/2009   207576   CODDA12
1123   07/11/2009   142699   CODDA16
1124   02/09/2010   132569   CODDA16
1125   02/13/2011   247762   CODDA18
1126   11/21/2010   124711   CODDA16
1127   12/05/2010   168794   CODDA13
1128   07/09/2011   188617   CODDA15
1129   02/14/2011   217851   CODDA15
1130   11/08/2009   244448   CODDA13
1131   12/15/2010   190117   CODDA16
1132   01/05/2011   164928   CODDA19
1133   06/01/2010   165747   CODDA15
1134   08/08/2009   209387   CODDA14
1135   08/01/2009   232783   CODDA14
1136   07/28/2010   151239   CODDA19
1137   09/29/2010   104467   CODDA19
1138   02/18/2010   184008   CODDA16
1139   01/18/2011   168405   CODDA19
1140   04/14/2011   256069   CODDA11
1141   11/10/2010   265204   CODDA16
1142   10/04/2010   206708   CODDA17
1143   08/18/2009   209402   CODDA16
1144   08/06/2009   295161   CODDA12
1145   06/29/2009   114461   CODDA16
1146   11/06/2009   202071   CODDA17
1147   08/10/2009   258515   CODDA17
1148   04/18/2010   289680   CODDA13
1149   12/03/2010   105036   CODDA18
1150   12/20/2010   230284   CODDA12
1151   10/09/2009   253052   CODDA11
1152   12/01/2009   275801   CODDA16
1153   05/01/2011   150336   CODDA18
1154   07/24/2009   112694   CODDA16
1155   11/07/2010   267602   CODDA16
1156   06/02/2011   225030   CODDA20
1157   10/17/2009   147244   CODDA15
1158   07/28/2009   102188   CODDA18
1159   12/04/2010   247322   CODDA13
1160   08/24/2009   124578   CODDA15
1161   12/08/2010   142768   CODDA20
1162   07/31/2009   100528   CODDA15
1163   10/24/2010   211938   CODDA13
1164   07/23/2009   150945   CODDA17
1165   05/02/2010   278835   CODDA17
1166   05/26/2010   271144   CODDA18
1167   07/14/2010   244682   CODDA16
1168   03/13/2011   226122   CODDA18
1169   04/07/2011   180910   CODDA12
1170   10/16/2010   299642   CODDA15
1171   07/05/2011   212007   CODDA16
1172   07/29/2010   221089   CODDA14
1173   12/14/2010   158838   CODDA13
1174   06/22/2011   267313   CODDA14
1175   01/11/2011   260534   CODDA11
1176   07/31/2009   242297   CODDA11
1177   01/15/2010   110855   CODDA19
1178   11/24/2009   137384   CODDA18
1179   06/20/2011   299861   CODDA15
1180   01/23/2011   221766   CODDA14
1181   08/23/2010   127962   CODDA11
1182   04/29/2011   150883   CODDA19
1183   04/30/2010   122854   CODDA12
1184   03/07/2011   268280   CODDA11
1185   12/15/2010   186706   CODDA16
1186   02/17/2011   231331   CODDA17
1187   04/18/2011   117043   CODDA13
1188   05/05/2011   151301   CODDA19
1189   10/13/2010   124316   CODDA12
1190   05/02/2011   160935   CODDA14
1191   10/04/2009   205026   CODDA11
1192   07/10/2011   172199   CODDA11
1193   03/26/2010   213605   CODDA13
1194   05/29/2011   149524   CODDA20
1195   04/02/2011   197631   CODDA15
1196   05/16/2010   199077   CODDA15
1197   02/23/2010   249739   CODDA20
1198   06/18/2011   297999   CODDA20
1199   07/23/2009   187962   CODDA16
1200   07/20/2010   197406   CODDA20
1201   09/18/2009   116352   CODDA17
1202   02/19/2010   146120   CODDA15
1203   06/28/2011   240082   CODDA16
1204   12/13/2010   207485   CODDA15
1205   09/05/2009   208765   CODDA17
1206   02/17/2010   190897   CODDA17
1207   05/01/2011   281529   CODDA18
1208   08/13/2010   246539   CODDA12
1209   05/20/2010   137107   CODDA17
1210   01/19/2011   287843   CODDA17
1211   11/29/2010   206181   CODDA18
1212   08/30/2010   130961   CODDA16
1213   06/27/2009   184377   CODDA16
1214   02/23/2010   187772   CODDA17
1215   02/18/2010   168120   CODDA19
1216   09/28/2010   272583   CODDA12
1217   04/21/2010   106608   CODDA18
1218   04/13/2010   154189   CODDA16
1219   10/31/2009   136237   CODDA20
1220   12/26/2009   133039   CODDA15
1221   08/24/2009   184501   CODDA19
1222   10/20/2010   164046   CODDA17
1223   12/16/2009   263133   CODDA16
1224   09/06/2010   211175   CODDA13
1225   08/18/2010   248732   CODDA18
1226   06/27/2009   185877   CODDA16
1227   06/01/2010   156717   CODDA16
1228   06/08/2010   180186   CODDA19
1229   08/03/2010   110512   CODDA19
1230   11/11/2010   166581   CODDA17
1231   10/05/2009   175579   CODDA14
1232   02/07/2010   217994   CODDA20
1233   03/02/2010   260488   CODDA14
1234   10/04/2010   238640   CODDA11
1235   09/10/2009   130897   CODDA16
1236   12/28/2010   278596   CODDA16
1237   12/08/2009   204674   CODDA13
1238   04/20/2010   278468   CODDA12
1239   02/04/2011   229244   CODDA13
1240   06/16/2010   228680   CODDA20
1241   05/19/2010   248331   CODDA20
1242   01/12/2010   196074   CODDA17
1243   06/25/2011   133048   CODDA13
1244   08/06/2009   293891   CODDA18
1245   06/21/2011   249736   CODDA18
1246   10/05/2009   193875   CODDA19
1247   01/04/2011   148011   CODDA18
1248   12/30/2009   224981   CODDA15
1249   09/10/2009   186374   CODDA11
1250   01/11/2010   129761   CODDA15
1251   01/23/2010   249121   CODDA12
1252   02/11/2010   140501   CODDA16
1253   11/21/2009   119361   CODDA13
1254   02/24/2011   114217   CODDA19
1255   07/05/2011   211009   CODDA12
1256   10/11/2010   234600   CODDA17
1257   12/04/2010   245503   CODDA15
1258   10/12/2009   203120   CODDA16
1259   04/07/2010   255150   CODDA18
1260   01/16/2011   199152   CODDA13
1261   08/08/2010   275692   CODDA12
1262   06/19/2011   232872   CODDA11
1263   04/19/2010   190778   CODDA12
1264   04/20/2010   184857   CODDA12
1265   12/24/2010   168199   CODDA13
1266   09/08/2009   175978   CODDA17
1267   04/17/2010   255539   CODDA19
1268   11/01/2009   262818   CODDA15
1269   08/13/2009   116322   CODDA12
1270   07/16/2009   235259   CODDA20
1271   11/04/2010   233325   CODDA19
1272   08/22/2009   133279   CODDA11
1273   04/04/2010   148487   CODDA14
1274   12/21/2009   150303   CODDA14
1275   12/05/2010   278632   CODDA13
1276   02/02/2010   120137   CODDA11
1277   04/28/2011   278946   CODDA19
1278   05/22/2011   116288   CODDA20
1279   06/05/2010   126132   CODDA17
1280   08/27/2009   106014   CODDA14
1281   08/19/2009   114000   CODDA19
1282   06/20/2011   261671   CODDA13
1283   06/25/2011   174351   CODDA11
1284   06/10/2011   116622   CODDA12
1285   09/23/2009   151712   CODDA14
1286   04/28/2010   111329   CODDA20
1287   08/28/2009   101382   CODDA16
1288   08/16/2010   222822   CODDA15
1289   04/24/2010   215866   CODDA18
1290   01/26/2011   296199   CODDA15
1291   07/01/2011   252281   CODDA17
1292   05/04/2010   120075   CODDA13
1293   02/10/2011   131359   CODDA17
1294   02/09/2011   127324   CODDA17
1295   04/25/2011   248981   CODDA13
1296   02/05/2010   148241   CODDA17
1297   04/12/2010   185431   CODDA11
1298   07/11/2009   132607   CODDA16
1299   03/12/2010   151602   CODDA12
1300   08/10/2009   139578   CODDA18
1301   08/15/2010   111288   CODDA13
1302   02/07/2010   109841   CODDA14
1303   07/16/2010   265454   CODDA11
1304   09/17/2009   134440   CODDA14
1305   02/11/2010   240298   CODDA18
1306   08/11/2009   123592   CODDA16
1307   02/16/2011   169982   CODDA19
1308   11/25/2010   106700   CODDA16
1309   04/20/2011   220631   CODDA11
1310   01/03/2010   118925   CODDA13
1311   05/15/2011   196739   CODDA19
1312   07/02/2011   164255   CODDA12
1313   08/01/2010   112633   CODDA12
1314   03/21/2010   152444   CODDA12
1315   12/18/2010   153934   CODDA18
1316   09/24/2009   212110   CODDA14
1317   09/22/2009   172360   CODDA20
1318   05/25/2011   237436   CODDA11
1319   08/24/2009   283246   CODDA17
1320   08/15/2009   258732   CODDA15
1321   07/21/2010   149294   CODDA18
1322   08/16/2010   280761   CODDA19
1323   01/17/2011   222686   CODDA11
1324   09/29/2009   103577   CODDA11
1325   05/14/2011   164543   CODDA16
1326   08/10/2009   159505   CODDA16
1327   01/09/2010   297566   CODDA16
1328   11/08/2009   177675   CODDA20
1329   11/07/2009   102543   CODDA18
1330   05/22/2010   192222   CODDA19
1331   08/24/2010   130878   CODDA15
1332   10/31/2009   279067   CODDA16
1333   12/06/2010   277009   CODDA17
1334   12/31/2009   142658   CODDA18
1335   12/28/2009   221286   CODDA12
1336   05/07/2010   122321   CODDA19
1337   01/22/2010   198861   CODDA18
1338   07/26/2010   148126   CODDA14
1339   04/20/2011   294455   CODDA13
1340   07/30/2009   280199   CODDA11
1341   01/13/2010   157234   CODDA14
1342   07/02/2011   170907   CODDA19
1343   04/11/2011   234503   CODDA19
1344   01/08/2011   299987   CODDA15
1345   09/07/2010   159638   CODDA16
1346   08/30/2010   123804   CODDA20
1347   12/05/2009   282652   CODDA18
1348   04/24/2011   213849   CODDA15
1349   07/02/2011   143109   CODDA15
1350   02/16/2010   292495   CODDA19
1351   05/18/2010   124115   CODDA14
1352   05/05/2010   114802   CODDA17
1353   07/28/2009   275592   CODDA16
1354   10/27/2010   288780   CODDA13
1355   02/23/2011   128083   CODDA12
1356   04/29/2011   211319   CODDA14
1357   01/08/2011   101213   CODDA18
1358   10/25/2010   129800   CODDA16
1359   12/15/2009   267362   CODDA11
1360   10/06/2009   243681   CODDA19
1361   12/11/2009   169365   CODDA15
1362   01/05/2010   177862   CODDA14
1363   09/06/2009   297760   CODDA17
1364   07/31/2009   292358   CODDA12
1365   04/13/2011   163854   CODDA16
1366   07/11/2009   258442   CODDA19
1367   03/25/2010   264040   CODDA19
1368   01/27/2010   279829   CODDA16
1369   09/10/2010   183906   CODDA17
1370   12/01/2009   174200   CODDA17
1371   08/16/2010   156094   CODDA18
1372   07/15/2010   189855   CODDA18
1373   10/17/2009   100454   CODDA14
1374   01/19/2010   269443   CODDA13
1375   02/25/2011   107911   CODDA17
1376   07/10/2010   233178   CODDA17
1377   05/24/2011   143420   CODDA11
1378   12/26/2009   188061   CODDA15
1379   07/15/2011   106922   CODDA17
1380   01/22/2011   237025   CODDA15
1381   07/17/2010   192187   CODDA19
1382   11/22/2010   293278   CODDA18
1383   07/31/2010   270247   CODDA13
1384   12/06/2010   203542   CODDA16
1385   05/21/2010   101478   CODDA12
1386   04/07/2011   220874   CODDA16
1387   06/09/2010   168763   CODDA13
1388   12/05/2010   237275   CODDA12
1389   03/02/2010   197623   CODDA14
1390   11/07/2009   206964   CODDA11
1391   09/10/2009   127670   CODDA14
1392   01/27/2011   202673   CODDA18
1393   06/22/2010   174435   CODDA12
1394   04/12/2010   144391   CODDA15
1395   09/26/2010   103573   CODDA15
1396   01/02/2011   170344   CODDA15
1397   10/25/2010   132359   CODDA12
1398   05/03/2011   282992   CODDA18
1399   07/23/2010   169557   CODDA13
1400   08/07/2009   290172   CODDA13
1401   03/11/2011   172618   CODDA14
1402   06/15/2010   169192   CODDA14
1403   01/26/2011   208492   CODDA17
1404   05/14/2011   140950   CODDA15
1405   12/25/2009   286383   CODDA19
1406   04/07/2011   216931   CODDA18
1407   10/30/2010   114792   CODDA14
1408   01/15/2010   179520   CODDA17
1409   03/20/2011   265961   CODDA15
1410   06/25/2010   148401   CODDA16
1411   05/17/2011   126740   CODDA16
1412   05/30/2011   287818   CODDA11
1413   04/26/2010   240843   CODDA13
1414   02/16/2011   127939   CODDA12
1415   08/13/2010   135041   CODDA16
1416   07/04/2009   268420   CODDA15
1417   03/01/2011   180886   CODDA14
1418   10/29/2009   119872   CODDA12
1419   10/15/2010   161001   CODDA14
1420   08/07/2010   130855   CODDA16
1421   03/10/2011   196867   CODDA19
1422   01/31/2011   236518   CODDA12
1423   08/29/2009   299168   CODDA14
1424   10/12/2010   289813   CODDA17
1425   04/09/2010   242089   CODDA17
1426   02/14/2010   188502   CODDA16
1427   11/16/2010   154646   CODDA11
1428   10/23/2010   178199   CODDA14
1429   08/26/2010   209699   CODDA11
1430   08/22/2009   257396   CODDA12
1431   12/18/2010   133583   CODDA14
1432   12/18/2009   286264   CODDA15
1433   04/15/2010   240268   CODDA18
1434   11/19/2009   143473   CODDA18
1435   06/29/2010   250217   CODDA15
1436   07/13/2011   177996   CODDA19
1437   07/11/2010   206233   CODDA18
1438   03/01/2011   103596   CODDA20
1439   09/07/2010   214283   CODDA12
1440   05/29/2011   101817   CODDA17
1441   09/15/2010   166530   CODDA16
1442   12/22/2010   264200   CODDA11
1443   05/11/2011   234337   CODDA11
1444   07/02/2011   223485   CODDA19
1445   01/12/2010   139513   CODDA16
1446   12/07/2010   110620   CODDA14
1447   09/03/2010   180178   CODDA14
1448   06/24/2010   191012   CODDA19
1449   02/24/2011   255500   CODDA11
