groupid,date_joined,institution_name,campus_name,type_inst,city,state,zip,work_ph,cell_ph,home_ph,fte_count,net_student_tuition,federal03,state03,state_local_app,federal07,federal07_net_pell,state06,local06,state_local_grant_contract,federal10,federal10_net_pell,state09,fed_state_loc_grants_con,private03,endowment03,priv_invest_endow,auxother_rev,stable_operating_rev,total03_revenue
-2662,1987,FREEMAN JUNIOR COLLEGE,,69,FREEMAN,SD,57029,7818185888,,,103840,18185940,,127300696,127300696,86413856,83751418,6447689,573590,7021279,86413856,83751418,134321984,90772697,32248624,2368566,34617190,277629148,519885285,559508800
-2793,1987,VIRGINIA COLLEGE,,74,LYNCHBURG,VA,24501,,8390452324,,109020,19958176,,125914496,125914496,91294736,88278160,5921215,594710,6515925,91294736,88278160,132430424,94794085,33923532,4397484,38321016,341606044,588788185,632950144
-3462,1987,WISCONSIN CONSV OF MUSIC,,74,MILWAUKEE,WI,53202,,6930929098,,114960,22484069,,132478624,132478624,92800552,89588803,6097821,1865351,7963172,92800552,89588803,140441792,97551975,33809456,3769414,37578870,433052648,692449123,736546304
-3762,1987,MADISON AREA TECH COLLEGE,,74,MADISON,WI,53703,4999731515,5685267073,,119750,25172120,,132577648,132577648,109474840,104900742,5145392,2543176,7688568,109474840,104900742,140266208,112589310,42837264,4145718,46982982,489359409,767913691,822950912
-3913,1987,BAKER JUNIOR COLLEGE BUS,,69,FLINT,MI,48507,,,4778392171,119600,26788066,,137691136,137691136,126217592,122096766,5530606,3489228,9019834,126217592,122096766,146710976,131116600,49677520,4716729,54394249,536412053,841145229,903553664
-4007,1987,BEER SHMUEL TALMUD ACAD,,74,BROOKLYN,NY,11219,,3945479251,,120770,35315660,,161185632,161185632,151434384,147203671,4872923,4221711,9094634,151434384,147203671,170280256,156298305,38184560,7255994,45440554,580241031,942033168,996470528
-4673,1987,BETH JOSEPH RAB SEMINARY,,74,BROOKLYN,NY,11219,6720847504,,7960984482,120270,36267357,,161006032,161006032,175198064,170598859,3473405,3541454,7014859,175198064,170598859,168020896,177613718,42407540,4641371,47048911,663708570,1047613376,1104893568
4829,1987,YESH BETH SHEARM RAB INST,,74,BROOKLYN,NY,11204,,5367549134,,119010,36163110,,160633584,160633584,192927344,189361125,2914300,4102303,7016603,192927344,189361125,167650192,196377728,46032280,4404216,50436496,704096992,1107552736,1170238848
-5000,1987,FORT STEILACOOM CC,,74,TACOMA,WA,98498,,,9022865883,120230,37852258,,166245344,166245344,188329776,183060102,2778334,4207328,6985662,188329776,183060102,173231008,190045764,57379132,4755016,62134148,747344496,1152869900,1230152192
5523,1987,BLUE HILLS REG TECH INST,,74,CANTON,MA,2021,,1270580543,,6990,153231,,1864583,1864583,398601,208480,24036,,24036,398601,208480,1888619,232516,,,,672415,3112866,3339579
-6741,1987,WESTERN BIBLE COLLEGE,,74,MORRISON,CO,80465,5894310652,,,2030,472257,,1961667,1961667,523988,338161,39768,,39768,523988,338161,2001435,377929,,,,358901,3373301,3582774
-6775,1987,RAINY RIVER CMTY COLLEGE,,74,INTERNATIONAL F,MN,56649,,8114930850,,3520,492329,,2298958,2298958,549277,327194,100779,,100779,549277,327194,2399737,427973,,,,437810,3905690,4152173
-7591,1987,SOUTHEAST COMMUNITY COLLEGE LINCOLN CAMPUS,,74,LINCOLN,NE,68520,,,594507920,3920,503557,,2347583,2347583,601529,331746,109938,,109938,601529,331746,2457521,441684,,,,345515,3926660,4241693
8192,1987,PIEDMONT AEROSPACE INST,,74,WINSTON-SALEM,NC,27156,,9022865883,,5040,669776,,2383434,2383434,611065,411478,127680,,127680,611065,411478,2511114,539158,,,,239382,4052037,4292950
-8915,1987,INST FOR ADV STDIES HUM,,74,NEW YORK,NY,10027,1242020857,,,5220,796535,,2518017,2518017,533195,248856,220728,,220728,533195,248856,2738745,469584,,,,135412,4225687,4554438
-9008,1987,COLORADO MOUNTAIN COLLEGE EAST CAMPUS,,74,LEADVILLE,CO,80461,7124507413,,,3990,602256,,2593517,2593805,707659,479586,140864,,140864,707659,479586,2734669,620450,,,,188703,4262677,4531802
-10017,1987,PAYNE THEOLOGICAL SEM,,74,WILBERFORCE,OH,45384,4498968918,,,3340,611408,,2245254,2245254,447592,286829,170069,65,170134,447592,286829,2415388,456963,,,,236991,3740279,3954383
-10477,1987,YESHIVA NACHLAS HALEVIYIM,,69,BROOKLYN,NY,11219,4870619281,,,2770,493039,,2411096,2411096,399566,237841,228123,349,228472,399566,237841,2639568,466313,,,,161176,3719549,3956513
-10668,1987,DALLAS BIBLE COLLEGE,,69,DALLAS,TX,75228,,9036219965,,2620,431684,,2378282,2378282,208712,33280,182739,10484,193223,208712,33280,2571505,226503,,,,191033,3437565,3743410
-11157,1987,ESSEX AGRL-TECH INST,,74,HATHORNE,MA,1937,7864787236,,,2760,492659,,2429057,2429057,221079,41076,171944,229,172173,221079,41076,2601230,213249,,,,221295,3571472,3867231
-11237,1987,SOUTHERN VOCATIONAL COLLEGE,,74,TUSKEGEE,AL,36083,,,993667574,31360,-912452,,16618212,16618212,7617578,3241768,271274,,271274,7617578,3241768,16889486,3513042,94977,250000,344977,60781,200126,529067
-11600,1987,RUTLEDGE C OF GREENSBORO,,74,GREENSBORO,NC,27420,,9246900775,,31060,185548,,16995492,16995492,6302744,2977080,318355,,318355,6302744,2977080,17313846,3295435,75245,,75245,66253,218144,576701
-11669,1987,OHR YISROEL RAB COLLEGE,,74,FOREST HILLS,NY,11375,5241697632,,9461559730,36230,-135801,,18200144,18200144,7131106,2896354,399698,,399698,7131106,2896354,18599842,3296052,17623,,17623,206875.5767,428519.5767,766228
-11996,1987,STENOTYPE INSTITUTE,,74,NEW YORK,NY,10019,,4415863813,,39590,-431093,,18036740,18036740,8801444,3646073,346147,,346147,8801444,3646073,18382888,3992220,57382,,57382,207016,374545,880767
-12010,1987,DERECH AYSON RAB SEMINARY,,74,FAR ROCKAWAY,NY,11691,2923430080,,,39070,2154344.764,,18806736,18806736,8165938,3580644,417969,,417969,8165938,3580644,19224706,3998613,148793,,148793,204067,359356,839226
12257,1987,HEED UNIVERSITY,,74,HOLLYWOOD,FL,33020,9828517337,9561407157,,44050,1360860,,18910460,18910460,9092841,3422431,428053,2000,430053,9092841,3422431,19340512,3852484,153166,41597,194763,17278,214013,1521731
12312,1987,GRAND RAPIDS SCHOOL OF BIBLE AND MUSIC,,74,GRAND RAPIDS,MI,49506,1580579589,9429637551,,50550,4679701,,20246688,20246688,11041722,5095062,356418,4800,361218,11041722,5095062,20607908,5456280,342883,39850,382733,4427,215682,1705398
12632,1987,FLORIDA BEACON COLLEGE,,74,LARGO,FL,33541,3373387615,,,51180,4161140,,21249334,21249334,10480609,4269167,644888,3400,648288,10480609,4269167,21897622,4917455,264009,16706,280715,23352,311129,1813493
-12857,1987,LUTHER RICE SEMINARY,,74,JACKSONVILLE,FL,32207,,9275808991,,45720,4654208,,25782536,25782536,10079139,4586374,496034,2400,498434,10079139,4586374,26280972,5084808,329037,,329037,10942,402319,1832295
-29026,1987,BEACON COLLEGE,,74,WASHINGTON,DC,20009,7948284923,,6038394794,47980,1587137,,32310112,32310112,12269640,7252421,662982,2400,665382,12269640,7252421,32975494,7917803,873257,,873257,16326,599753,2236725
29083,1987,NYINGMA INSTITUTE,,74,BERKELEY,CA,94709,,9971320242,,48310,5275735,,25429592,25429592,11363192,5508845,1916352,2400,1918752,11363192,5508845,27348344,7427597,490198,,490198,10061.29004,359450.29,1796802
-29089,1987,CALIFORNIA CHRISTIAN COLLEGE,,74,FRESNO,CA,93703,6,,8614631566,45600,6270814,,26875160,26875160,11952713,5681102,1510941,9036,1519977,11952713,5681102,28395136,7201079,1007872,,1007872,4896,781191,1970958
-29146,1987,RABBINICAL C OF TASH,,74,BROOKLYN,NY,11219,2863199285,,3416067700,47670,4013896.375,47665,27100452,27100452,11892231,4760734,3225686,26856,3252542,11939896,4808399,30352996,8060941,1174098,156650,1330748,103504,1162784,2303761
-29152,1987,BAPT BIBLE C OF DENVER,,74,DENVER,CO,80020,,2029232006,9027944581,146050,20249012,,73837040,73837040,14498483,11406187,1321335,296214,1617549,14498483,11406187,75454584,13023736,6426374,3360501,9786875,4794546,47961573,51729220
-29179,1987,HOREB SEMINARY,,74,MIAMI BEACH,FL,33139,9817582839,8648809744,,155120,24173001,,75894240,75894240,17390730,12771649,2458952,272381,2731333,17390730,12771649,78625568,15502982,6711998,4190285,10902283,5490286,54176777,58318876
29184,1987,WILLIAM CAREY INTRNATL U,,74,PASADENA,CA,91104,6999039310,,,168220,31231412,,85281368,85281368,17933708,13085650,4289998,257150,4547148,17933708,13085650,89828512,17632798,5484460,4152861,9637321,5932839,63910387,69302128
-29255,1987,PA COLL. OF STRAIGHT CHIRO,,74,LEVITTOWN,PA,19058,3877225609,9971320242,,177930,34991657,,84795744,84795744,18987540,14136020,4863269,277732,5141001,18987540,14136020,89936752,19277021,5853758,4351841,10205599,6235794,69212946,74948088
-29343,1987,HEALD COLLEGE-SANTA CLARA,,74,SANTA CLARA,CA,95051,2392435292,6505572655,,180190,37111978,,87877296,87877296,17559330,12257711,4944235,275339,5219574,17559330,12257711,93096864,17477285,6522694,5164803,11687497,6682567,72389962,77752768
45678,1987,DERECH AYSON RAB SEM,,74,FAR ROCKAWAY,NY,11691,6229275501,6433136634,9748349867,-3,2,,9,4,2,-3,,,-3,,,0,2,2,0,-1,-1,111.2,0.513068955
29372,1987,OR GRAD SCHL OF PROF PSY,,74,MARYLHURST,OR,97036,,,9827220706,2,1,0,6,3,1,40,4,3,8,4,3,0,2,2,0,-1,-1,111.2,0.513068955
100636,1987,Air Force Communty College,CCAF Montgomery,84,Montgomery,AL,36112-661,,7168253122,2265438460,2,1,0,6,3,1,40,4,3,8,4,3,0,2,2,0,-1,-1,115.8,0.534293031
100636,1988,Air Force Communty College,CCAF Montgomery,84,Montgomery,AL,36112-661,1586003166,,1416247345,2,1,0,6,3,1,40,4,3,8,4,3,0,2,2,0,-1,-1,121.2,0.55920825
100636,1989,Air Force Communty College,CCAF Montgomery,84,Montgomery,AL,36112-661,,5337957235,,2,1,0,6,3,1,40,4,3,8,4,3,0,2,2,0,-1,-1,127,0.585969041
100636,1990,Air Force Communty College,CCAF Montgomery,84,Montgomery,AL,36112-661,,9789515569,,2,1,0,6,3,1,40,4,3,8,4,3,0,2,2,0,-1,-1,133.9,0.617805154
100636,1991,Air Force Communty College,CCAF Montgomery,84,Montgomery,AL,36112-661,,3017162111,,2,1,0,6,3,1,40,4,3,8,4,3,0,2,2,0,-1,-1,138.2,0.63764505
100636,1992,Air Force Communty College,CCAF Montgomery,84,Montgomery,AL,36112-661,,,2528519080,2,1,0,6,3,1,40,4,3,8,4,3,0,2,2,0,-1,-1,142.5,0.657484947
100636,1993,Air Force Communty College,CCAF Montgomery,84,Montgomery,AL,36112-661,1552991404,1382848635,4065155336,2,1,0,6,3,1,40,4,3,8,4,3,0,2,2,0,-1,-1,146.2,0.674556486
100636,1994,Air Force Communty College,CCAF Montgomery,84,Montgomery,AL,36112-661,5471064125,,9049688102,2,1,0,6,3,1,40,4,3,8,4,3,0,2,2,0,-1,-1,150.4,0.69393499
100636,1995,Air Force Communty College,CCAF Montgomery,84,Montgomery,AL,36112-661,,5385833419,,2,1,0,6,3,1,40,4,3,8,4,3,0,2,2,0,-1,-1,154.5,0.7128521
100636,1996,Air Force Communty College,CCAF Montgomery,84,Montgomery,AL,36112-661,,8654771515,,2,1,0,6,3,1,40,4,3,8,4,3,0,2,2,0,-1,-1,158.9,0.73315339
100636,1997,Air Force Communty College,CCAF Montgomery,84,Montgomery,AL,36112-661,,,6932869471,2,1,0,6,3,1,40,4,3,8,4,3,0,2,2,0,-1,-1,161.7,0.746072393
100636,1998,Air Force Communty College,CCAF Montgomery,84,Montgomery,AL,36112-661,4346406345,9637469991,1983538366,2,1,0,6,3,1,40,4,3,8,4,3,0,2,2,0,-1,-1,164.5,0.758991395
100636,1999,Air Force Communty College,CCAF Montgomery,84,Montgomery,AL,36112-661,3845764968,4753605151,,1,1,5,6,3,1,16,1,1,18,2,2,0,1,1,0,-1,-1,111.2,0.513068955
-100654,1987,Alabama A & M University,AAMU,66,Normal,AL,35762,6685899898,2217726746,,1,1,5,6,3,1,16,1,1,18,2,2,0,1,1,0,-1,-1,115.8,0.534293031
-100654,1988,Alabama A & M University,AAMU,66,Normal,AL,35762,6341375066,5361458188,,1,1,5,6,3,1,16,1,1,18,2,2,0,1,1,0,-1,-1,121.2,0.55920825
-100654,1989,Alabama A & M University,AAMU,66,Normal,AL,35762,,8903282373,2024676545,1,1,5,6,3,1,16,1,1,18,2,2,0,1,1,0,-1,-1,127,0.585969041
-100654,1990,Alabama A & M University,AAMU,66,Normal,AL,35762,2907559378,9211037204,5011705664,1,1,5,6,3,1,16,1,1,18,2,2,0,1,1,0,-1,-1,133.9,0.617805154
-100654,1991,Alabama A & M University,AAMU,66,Normal,AL,35762,4867068357,2318120631,,1,1,5,6,3,1,16,1,1,18,2,2,0,1,1,0,-1,-1,138.2,0.63764505
-100654,1992,Alabama A & M University,AAMU,66,Normal,AL,35762,4611263866,,,1,1,5,6,3,1,16,1,1,18,2,2,0,1,1,0,-1,-1,142.5,0.657484947
-100654,1993,Alabama A & M University,AAMU,66,Normal,AL,35762,8194093846,5839049341,,1,1,5,6,3,1,16,1,1,18,2,2,0,1,1,0,-1,-1,146.2,0.674556486
-100654,1994,Alabama A & M University,AAMU,66,Normal,AL,35762,9903223801,9696555312,,1,1,5,6,3,1,16,1,1,18,2,2,0,1,1,0,-1,-1,150.4,0.69393499
-100654,1995,Alabama A & M University,AAMU,66,Normal,AL,35762,1797187308,,,1,1,5,6,3,1,16,1,1,18,2,2,0,1,1,0,-1,-1,154.5,0.7128521
-100654,1996,Alabama A & M University,AAMU,66,Normal,AL,35762,6166055119,2055667216,,1,1,5,6,3,1,16,1,1,18,2,2,0,1,1,0,-1,-1,158.9,0.73315339
-100654,1997,Alabama A & M University,AAMU,66,Normal,AL,35762,9123878017,9628667847,,1,1,5,6,3,1,16,1,1,18,2,2,0,1,1,0,-1,-1,161.7,0.746072393
-100654,1998,Alabama A & M University,AAMU,66,Normal,AL,35762,1865471090,,,1,1,5,6,3,1,16,1,1,18,2,2,0,1,1,0,-1,-1,164.5,0.758991395
-100654,1999,Alabama A & M University,AAMU,66,Normal,AL,35762,4162931594,7825751998,,1,1,5,6,3,1,15,1,1,15,1,1,0,2,2,0,-1,-1,111.2,0.513068955
-100663,1987,University of Alabama at Birmingham,UA Birmingham,66,Birmingham,AL,35294-011,6264285610,6135376382,8517627585,1,1,5,6,3,1,15,1,1,15,1,1,0,2,2,0,-1,-1,115.8,0.534293031
-100663,1988,University of Alabama at Birmingham,UA Birmingham,66,Birmingham,AL,35294-011,6805293059,8042454497,,1,1,5,6,3,1,15,1,1,15,1,1,0,2,2,0,-1,-1,121.2,0.55920825
-100663,1989,University of Alabama at Birmingham,UA Birmingham,66,Birmingham,AL,35294-011,2354211447,3321104470,,1,1,5,6,3,1,15,1,1,15,1,1,0,2,2,0,-1,-1,127,0.585969041
-100663,1990,University of Alabama at Birmingham,UA Birmingham,66,Birmingham,AL,35294-011,2144226497,7405812110,,1,1,5,6,3,1,15,1,1,15,1,1,0,2,2,0,-1,-1,133.9,0.617805154
-100663,1991,University of Alabama at Birmingham,UA Birmingham,66,Birmingham,AL,35294-011,8787182434,,,1,1,5,6,3,1,15,1,1,15,1,1,0,2,2,0,-1,-1,138.2,0.63764505
-100663,1992,University of Alabama at Birmingham,UA Birmingham,66,Birmingham,AL,35294-011,6036738708,1655322252,,1,1,5,6,3,1,15,1,1,15,1,1,0,2,2,0,-1,-1,142.5,0.657484947
-100663,1993,University of Alabama at Birmingham,UA Birmingham,66,Birmingham,AL,35294-011,2148422299,7431339930,,1,1,5,6,3,1,15,1,1,15,1,1,0,2,2,0,-1,-1,146.2,0.674556486
-100663,1994,University of Alabama at Birmingham,UA Birmingham,66,Birmingham,AL,35294-011,9217255102,9526373493,,1,1,5,6,3,1,15,1,1,15,1,1,0,2,2,0,-1,-1,150.4,0.69393499
-100663,1995,University of Alabama at Birmingham,UA Birmingham,66,Birmingham,AL,35294-011,8673158601,,7097858794,1,1,5,6,3,1,15,1,1,15,1,1,0,2,2,0,-1,-1,154.5,0.7128521
-100663,1996,University of Alabama at Birmingham,UA Birmingham,66,Birmingham,AL,35294-011,6334287279,8575156696,,1,1,5,6,3,1,15,1,1,15,1,1,0,2,2,0,-1,-1,158.9,0.73315339
-100663,1997,University of Alabama at Birmingham,UA Birmingham,66,Birmingham,AL,35294-011,6195125592,2715250203,,1,1,5,6,3,1,15,1,1,15,1,1,0,2,2,0,-1,-1,161.7,0.746072393
-100663,1998,University of Alabama at Birmingham,UA Birmingham,66,Birmingham,AL,35294-011,6076234567,9304852306,,1,1,5,6,3,1,15,1,1,15,1,1,0,2,2,0,-1,-1,164.5,0.758991395
-100663,1999,University of Alabama at Birmingham,UA Birmingham,66,Birmingham,AL,35294-011,,7546782912,,2,1,5,6,3,1,40,4,3,-3,,,0,2,2,0,-1,-1,111.2,0.513068955
2127,1987,ALABAMA AVIATION AND TECHNICAL COLLEGE,,74,OZARK,AL,36360,,4501002695,,2,1,5,6,3,1,40,4,3,-3,,,0,2,2,0,-1,-1,115.8,0.534293031
2127,1988,ALABAMA AVIATION AND TECHNICAL COLLEGE,,74,OZARK,AL,36360,7872965654,4441467656,,2,1,5,6,3,1,40,4,3,-3,,,0,2,2,0,-1,-1,121.2,0.55920825
2127,1989,ALABAMA AVIATION AND TECHNICAL COLLEGE,,74,OZARK,AL,36360,2657215632,9654642456,,2,1,5,6,3,1,40,4,3,-3,,,0,2,2,0,-1,-1,127,0.585969041
2127,1990,ALABAMA AVIATION AND TECHNICAL COLLEGE,,74,OZARK,AL,36360,,8609324044,,2,1,5,6,3,1,40,4,3,-3,,,0,2,2,0,-1,-1,133.9,0.617805154
2127,1991,ALABAMA AVIATION AND TECHNICAL COLLEGE,,74,OZARK,AL,36360,6766951662,9434451736,3451818768,2,1,5,6,3,1,40,4,3,-3,,,0,2,2,0,-1,-1,138.2,0.63764505
2127,1992,ALABAMA AVIATION AND TECHNICAL COLLEGE,,74,OZARK,AL,36360,7639887963,,3302006719,2,1,5,6,3,1,40,4,3,-3,,,0,2,2,0,-1,-1,142.5,0.657484947
2127,1993,ALABAMA AVIATION AND TECHNICAL COLLEGE,,74,OZARK,AL,36360,6526488538,9363006448,9348712221,2,1,5,6,3,1,40,4,3,-3,,,0,2,2,0,-1,-1,146.2,0.674556486
2127,1994,ALABAMA AVIATION AND TECHNICAL COLLEGE,,74,OZARK,AL,36360,3956432125,,8292937487,2,1,5,6,3,1,40,4,3,-3,,,0,2,2,0,-1,-1,150.4,0.69393499
2127,1995,ALABAMA AVIATION AND TECHNICAL COLLEGE,,74,OZARK,AL,36360,4698026977,8135737940,8702700204,2,1,5,6,3,1,40,4,3,-3,,,0,2,2,0,-1,-1,154.5,0.7128521
2127,1996,ALABAMA AVIATION AND TECHNICAL COLLEGE,,74,OZARK,AL,36360,,4335222776,5597403556,1,1,5,6,3,1,16,1,1,16,1,1,0,2,2,0,-1,-1,111.2,0.513068955
-100706,1987,University of Alabama in Huntsville,UAlabama Huntsville,66,Huntsville,AL,35899,,,6818512208,1,1,5,6,3,1,16,1,1,16,1,1,0,2,2,0,-1,-1,115.8,0.534293031
-100706,1988,University of Alabama in Huntsville,UAlabama Huntsville,66,Huntsville,AL,35899,8079598430,5696362893,7774384515,1,1,5,6,3,1,16,1,1,16,1,1,0,2,2,0,-1,-1,121.2,0.55920825
-100706,1989,University of Alabama in Huntsville,UAlabama Huntsville,66,Huntsville,AL,35899,2216032594,6497828395,8438695868,1,1,5,6,3,1,16,1,1,16,1,1,0,2,2,0,-1,-1,127,0.585969041
-100706,1990,University of Alabama in Huntsville,UAlabama Huntsville,66,Huntsville,AL,35899,9619904542,,6254448803,1,1,5,6,3,1,16,1,1,16,1,1,0,2,2,0,-1,-1,133.9,0.617805154
-100706,1991,University of Alabama in Huntsville,UAlabama Huntsville,66,Huntsville,AL,35899,,9161116130,2827425739,1,1,5,6,3,1,16,1,1,16,1,1,0,2,2,0,-1,-1,138.2,0.63764505
-100706,1992,University of Alabama in Huntsville,UAlabama Huntsville,66,Huntsville,AL,35899,,6176622307,2606933944,1,1,5,6,3,1,16,1,1,16,1,1,0,2,2,0,-1,-1,142.5,0.657484947
-100706,1993,University of Alabama in Huntsville,UAlabama Huntsville,66,Huntsville,AL,35899,6599597586,2021688103,6705508059,1,1,5,6,3,1,16,1,1,16,1,1,0,2,2,0,-1,-1,146.2,0.674556486
-100706,1994,University of Alabama in Huntsville,UAlabama Huntsville,66,Huntsville,AL,35899,9747713591,9723134518,2728551736,1,1,5,6,3,1,16,1,1,16,1,1,0,2,2,0,-1,-1,150.4,0.69393499
-100706,1995,University of Alabama in Huntsville,UAlabama Huntsville,66,Huntsville,AL,35899,6952530912,,6226652556,1,1,5,6,3,1,16,1,1,16,1,1,0,2,2,0,-1,-1,154.5,0.7128521
-100706,1996,University of Alabama in Huntsville,UAlabama Huntsville,66,Huntsville,AL,35899,,9419849243,1196727528,1,1,5,6,3,1,16,1,1,16,1,1,0,2,2,0,-1,-1,158.9,0.73315339
-100706,1997,University of Alabama in Huntsville,UAlabama Huntsville,66,Huntsville,AL,35899,,2472568504,6598111022,1,1,5,6,3,1,16,1,1,16,1,1,0,2,2,0,-1,-1,161.7,0.746072393
-100706,1998,University of Alabama in Huntsville,UAlabama Huntsville,66,Huntsville,AL,35899,2158760897,6744499700,9732044168,1,1,5,6,3,1,16,1,1,16,1,1,0,2,2,0,-1,-1,164.5,0.758991395
-100706,1999,University of Alabama in Huntsville,UAlabama Huntsville,66,Huntsville,AL,35899,,,2925850753,3,3,5,6,3,1,-3,,,-3,,,0,2,2,0,-1,-1,111.2,0.513068955
-100715,1987,ALABAMA STATE COLLEGE OF BARBER STYLING,,48,BIRMINGHAM,AL,35206,6228557524,2461289554,7509451521,3,3,5,6,3,1,-3,,,-3,,,0,2,2,0,-1,-1,115.8,0.534293031
-100715,1988,ALABAMA STATE COLLEGE OF BARBER STYLING,,48,BIRMINGHAM,AL,35206,4583924750,1045940639,2428316761,3,3,5,6,3,1,-3,,,-3,,,0,2,2,0,-1,-1,121.2,0.55920825
-100715,1989,ALABAMA STATE COLLEGE OF BARBER STYLING,,48,BIRMINGHAM,AL,35206,7955900527,1266763716,3403520825,1,1,5,6,3,1,21,2,2,18,2,2,0,2,1,0,-1,-1,111.2,0.513068955
-100724,1987,Alabama State University,Alabama State,66,Montgomery,AL,36101-027,8423763008,,7527591621,1,1,5,6,3,1,21,2,2,18,2,2,0,2,1,0,-1,-1,115.8,0.534293031
-100724,1988,Alabama State University,Alabama State,66,Montgomery,AL,36101-027,3271802176,6652014174,4408366315,1,1,5,6,3,1,21,2,2,18,2,2,0,2,1,0,-1,-1,121.2,0.55920825
-100724,1989,Alabama State University,Alabama State,66,Montgomery,AL,36101-027,,4087971690,4258548547,1,1,5,6,3,1,21,2,2,18,2,2,0,2,1,0,-1,-1,127,0.585969041
-100724,1990,Alabama State University,Alabama State,66,Montgomery,AL,36101-027,5989558606,8544241960,1662135553,1,1,5,6,3,1,21,2,2,18,2,2,0,2,1,0,-1,-1,133.9,0.617805154
-100724,1991,Alabama State University,Alabama State,66,Montgomery,AL,36101-027,,,7665737975,1,1,5,6,3,1,21,2,2,18,2,2,0,2,1,0,-1,-1,138.2,0.63764505
-100724,1992,Alabama State University,Alabama State,66,Montgomery,AL,36101-027,,3529807897,3959623124,1,1,5,6,3,1,21,2,2,18,2,2,0,2,1,0,-1,-1,142.5,0.657484947
