ProductID,ProductType,Price,StarReviews5,StarReviews4,StarReviews3,StarReviews2,StarReviews1,PosServiceReview,NegServiceReview,WouldRecommend,BestSellersRank,ShippingWeight,ProductDepth,ProductWidth,ProductHeight,Profitmargin,Volume
145,3,6.99,384,31,13,5,20,50,1,0.9,9,1,108,0.5,0.5,0.05,1536
146,3,59.99,366,59,23,26,24,60,5,0.8,22,2.4,7.9,1.4,19.1,0.05,1464
147,3,38.66,209,83,35,38,36,15,4,0.7,11,0.4,3.6,6.5,8.8,0.05,836
148,3,10.75,535,261,134,104,177,120,15,0.7,3,1.5,11.5,20,7.2,0.05,2140
149,3,126.95,13,2,2,2,5,5,1,0.6,17,3,5.9,1.8,6.7,0.05,52
150,3,49.99,2801,431,157,154,270,536,22,0.8,30,0.4,7,4.5,1.2,0.05,11204
151,3,103.85,3,0,0,0,0,1,0,0.9,100,8,4.8,1.3,4.8,0.05,12
152,3,52.72,51,33,8,7,4,6,1,0.8,3,4,6.6,5.5,5.2,0.05,204
153,3,19.99,474,38,7,6,12,80,2,0.9,22,1.5,300,0.5,0.5,0.05,1896
154,3,16.24,108,54,12,2,6,7,3,0.9,27,0.55,6,3,8.2,0.05,432
155,3,69,226,37,3,7,8,13,1,0.9,27,3.8,15,9.8,18.9,0.05,904
156,6,359.99,90,27,10,4,4,7,3,0.9,1,7,9.2,11.2,3.2,0.2,360
157,6,1276.57,164,33,6,13,6,12,4,0.9,8,23,15.5,17.7,5.7,0.25,656
158,6,783.98,26,13,7,5,16,4,5,0.6,50,25,29.2,9.9,23,0.16,104
159,6,149.99,21,10,3,1,4,4,2,0.8,48,10,20,15.3,6.4,0.17,84
160,7,129.99,74,25,7,6,9,4,2,0.9,6,32.2,15.7,15.9,12.4,0.1,296
161,7,128.49,58,33,10,3,6,5,2,0.9,11,22.7,15.7,15.9,10.6,0.12,232
162,7,141.95,4,0,0,0,3,0,1,0.5,76,25,19.5,18,14,0.14,16
163,7,149.99,8,3,3,2,0,0,0,0.7,0,35,10.2,15.98,14.55,0.18,32
164,7,165.99,2,0,1,1,2,1,1,0.5,0,31,22.1,18.6,13.5,0.18,8
165,7,169.26,20,13,8,6,21,4,7,0.5,0,32,15.1,11.7,19.6,0.16,80
166,7,132.36,0,1,0,0,0,0,0,0.8,0,30.2,20.9,20.9,14.6,0.2,0
167,7,149.99,206,89,20,22,65,42,50,0.7,10,13,8.8,13.7,7.6,0.15,824
168,7,395,8,0,1,0,2,3,0,0.8,69,63,17.9,15.9,12.7,0.09,32
169,7,385.96,99,43,17,11,20,8,13,0.7,0,39,21,15.4,17.9,0.11,396
177,8,379.99,1,0,1,1,0,0,1,0.3,6295,3,7.44,10.43,1.02,0.1,4
185,9,499,148,66,30,20,29,12,6,0.8,134,2.2,7.1,10.4,0.3,0.13,592
190,10,199,4,1,0,2,2,1,1,0.5,829,1.1,4.5,2.5,0.5,0.1,16
198,11,129,1759,296,109,56,44,56,13,0.9,215,7.25,8.5,6,1.75,0.18,7036
188,9,499,86,51,17,12,9,14,2,0.8,4,2,10.1,6.9,0.38,0.2,344
189,9,419,3,1,0,0,0,0,0,0.9,544,2.2,7,10.2,0.4,0.18,12
191,10,200,62,25,10,11,12,9,3,0.8,720,0.9,2.8,5.4,0.3,0.14,248
192,10,99,18,17,6,2,12,5,4,0.7,5742,0.7,2.8,5.3,0.4,0.17,72
182,8,349.99,22,10,6,2,10,3,3,0.3,2723,5,7.57,10.47,1.43,0.12,88
197,10,499,368,28,14,10,23,22,3,0.9,14086,0.9,2.7,5,0.4,0.1,1472
200,11,299.99,421,87,20,14,39,29,14,0.9,352,10.94,12,11.5,7.25,0.12,1684
