REGION,COUNTY,WUG Name,RIVER BASIN,P2020,P2030,P2040,P2050,P2060,P2070
C,DENTON,PILOT POINT,TRINITY,6500,8000,11000,15000,20000,27000
C,DENTON,PLANO,TRINITY,7500,7800,8000,8000,8000,8000
C,DENTON,PONDER,TRINITY,2035,2811,3738,4774,5987,7371
C,DENTON,PROSPER,TRINITY,750,4794,12241,23092,33942,33942
C,DENTON,PROVIDENCE VILLAGE WCID,TRINITY,7235,7235,7235,7235,7235,7235
C,DENTON,ROANOKE,TRINITY,7975,9988,12000,12000,12000,12000
C,DENTON,SANGER,TRINITY,8632,10713,13199,15977,19229,22941
C,DENTON,SHADY SHORES,TRINITY,3441,3936,3936,3936,3936,3936
C,DENTON,SOUTHLAKE,TRINITY,1018,1315,1669,2065,2528,3057
C,DENTON,THE COLONY,TRINITY,51000,58000,62000,67600,67600,67600
C,DENTON,TROPHY CLUB,TRINITY,13098,13098,13098,13098,13098,13098
C,DENTON,WESTLAKE,TRINITY,25,33,43,54,67,82
C,ELLIS,BARDWELL,TRINITY,831,1063,1333,1650,2024,4500
C,ELLIS,BRANDON-IRENE WSC,TRINITY,80,103,129,160,196,238
C,ELLIS,BUENA VISTA - BETHEL SUD,TRINITY,4500,5500,6500,8000,11500,15326
C,ELLIS,CEDAR HILL,TRINITY,705,902,1132,1401,1401,1401
C,ELLIS,COUNTY-OTHER,TRINITY,6100,6500,7177,27642,60016,105596
C,ELLIS,ENNIS,TRINITY,22000,26000,30000,41059,66101,110000
C,ELLIS,FERRIS,TRINITY,2940,3540,4160,4826,8000,15000
C,ELLIS,FILES VALLEY WSC,TRINITY,775,991,1243,1538,1887,2291
C,ELLIS,GARRETT,TRINITY,1032,1320,1656,2049,2514,6000
C,ELLIS,GLENN HEIGHTS,TRINITY,3498,4473,5612,6945,8520,13000
C,ELLIS,GRAND PRAIRIE,TRINITY,57,73,92,114,140,170
C,ELLIS,ITALY,TRINITY,2386,3052,3828,4738,6000,8000
C,ELLIS,JOHNSON COUNTY SUD,TRINITY,211,270,339,419,514,625
C,ELLIS,MANSFIELD,TRINITY,116,138,173,241,299,369
C,ELLIS,MAYPEARL,TRINITY,1128,1359,1500,1500,1500,1500
C,ELLIS,MIDLOTHIAN,TRINITY,18025,23643,31011,37802,43871,48460
C,ELLIS,MILFORD,TRINITY,775,835,905,987,1083,1195
C,ELLIS,MOUNTAIN PEAK SUD,TRINITY,5321,6805,8536,10564,12959,15735
C,ELLIS,OAK LEAF,TRINITY,1350,1500,1750,2500,3700,4500
C,ELLIS,OVILLA,TRINITY,4049,5178,6495,8039,9861,18171
C,ELLIS,PALMER,TRINITY,2562,3276,4109,5086,6500,12000
C,ELLIS,PECAN HILL,TRINITY,801,1025,1286,1592,2000,3000
C,ELLIS,RED OAK,TRINITY,12369,14000,19000,26000,32000,50000
C,ELLIS,RICE WSC,TRINITY,7038,9000,11289,13972,17140,20811
C,ELLIS,ROCKETT SUD,TRINITY,32882,42048,52743,65279,85000,105000
C,ELLIS,SARDIS-LONE ELM WSC,TRINITY,14500,18000,22000,24000,25340,25340
C,ELLIS,VENUS,TRINITY,83,106,133,165,202,246
C,ELLIS,WAXAHACHIE,TRINITY,37700,43300,52800,64400,78500,95500
C,FANNIN,BONHAM,RED,12603,16000,22000,30000,37000,45000
C,FANNIN,COUNTY-OTHER,RED,9866,9624,10093,13842,29823,47557
C,FANNIN,COUNTY-OTHER,SULPHUR,954,1015,1901,3573,7007,11414
C,FANNIN,COUNTY-OTHER,TRINITY,2348,2529,1174,835,3170,6029
C,FANNIN,ECTOR,RED,773,850,909,962,1044,1133
C,FANNIN,HICKORY CREEK SUD,SULPHUR,275,302,323,342,371,402
C,FANNIN,HICKORY CREEK SUD,TRINITY,15,17,18,19,21,23
C,FANNIN,HONEY GROVE,RED,376,398,398,398,398,398
C,FANNIN,HONEY GROVE,SULPHUR,1324,1402,1402,1402,1402,1402
C,FANNIN,LADONIA,SULPHUR,1600,2000,2200,2500,3000,3000
C,FANNIN,LEONARD,RED,18,19,21,22,24,26
C,FANNIN,LEONARD,SULPHUR,42,46,49,52,57,62
C,FANNIN,LEONARD,TRINITY,2153,2369,2532,2683,2910,3157
C,FANNIN,NORTH HUNT SUD,SULPHUR,525,577,617,653,709,769
C,FANNIN,SAVOY,RED,924,1016,1086,1151,1249,1355
C,FANNIN,SOUTHWEST FANNIN COUNTY SUD,RED,3656,4020,4298,4552,5449,6439
C,FANNIN,SOUTHWEST FANNIN COUNTY SUD,TRINITY,180,198,212,224,269,318
C,FANNIN,TRENTON,RED,1,2,7,12,16,20
C,FANNIN,TRENTON,TRINITY,705,998,3493,5988,7984,9980
C,FANNIN,WHITEWRIGHT,RED,8,9,10,11,12,13
C,FREESTONE,COUNTY-OTHER,BRAZOS,1371,1348,852,1428,2815,6623
C,FREESTONE,COUNTY-OTHER,TRINITY,10348,10371,10867,13628,22185,43377
C,FREESTONE,FAIRFIELD,TRINITY,3232,3486,3662,7000,8000,10000
C,FREESTONE,FLO COMMUNITY WSC,TRINITY,521,562,590,611,627,638
C,FREESTONE,OAKWOOD,TRINITY,40,43,45,47,48,49
C,FREESTONE,TEAGUE,BRAZOS,1856,1980,2772,3490,4208,4950
C,FREESTONE,TEAGUE,TRINITY,1894,2020,2828,3560,4292,5050
C,FREESTONE,WORTHAM,TRINITY,1175,1267,1331,1378,2300,2600
C,GRAYSON,BELLS,RED,1648,1943,2234,2568,6000,8000
C,GRAYSON,COLLINSVILLE,TRINITY,2117,2685,3246,3889,5000,6500
C,GRAYSON,COUNTY-OTHER,RED,20620,20601,20582,20387,29097,49118
C,GRAYSON,COUNTY-OTHER,TRINITY,997,1016,1035,1230,903,882
C,GRAYSON,DENISON,RED,25127,27949,30731,33925,40000,50000
C,GRAYSON,GUNTER,TRINITY,2200,3000,4000,5000,6000,7000
C,GRAYSON,HOWE,RED,804,938,1072,1206,1340,1474
C,GRAYSON,HOWE,TRINITY,2196,2562,2928,3294,3660,4026
C,GRAYSON,KENTUCKY TOWN WSC,RED,1479,1774,2065,2399,3014,3768
C,GRAYSON,KENTUCKY TOWN WSC,TRINITY,1466,1758,2046,2377,2986,3732
C,GRAYSON,LUELLA SUD,RED,3292,3794,4290,4859,5463,6111
C,GRAYSON,LUELLA SUD,TRINITY,508,586,662,750,843,944
C,GRAYSON,MARILEE SUD,TRINITY,2746,2746,2698,2698,2657,2657
C,GRAYSON,POTTSBORO,RED,2896,3745,4582,6000,10000,18000
C,GRAYSON,SHERMAN,RED,42880,45000,50000,58000,75000,105000
C,GRAYSON,SOUTH GRAYSON WSC,TRINITY,3334,3544,4053,4225,4373,4511
C,GRAYSON,SOUTHMAYD,RED,1098,1222,1344,1483,2000,3000
C,GRAYSON,SOUTHWEST FANNIN COUNTY SUD,RED,1792,2695,3586,4608,6282,8243
C,GRAYSON,TIOGA,TRINITY,865,936,1006,1087,3500,4800
C,GRAYSON,TOM BEAN,RED,142,161,179,200,242,363
C,GRAYSON,TOM BEAN,TRINITY,1034,1167,1298,1449,1758,2637
C,GRAYSON,TWO WAY SUD,RED,3972,5119,6251,7551,10018,12539
C,GRAYSON,TWO WAY SUD,TRINITY,2322,2994,3656,4415,5858,7333
C,GRAYSON,VAN ALSTYNE,TRINITY,3735,4530,5314,6214,18000,25000
C,GRAYSON,WHITESBORO,RED,1645,1665,1686,1709,2145,2788
C,GRAYSON,WHITESBORO,TRINITY,2189,2217,2243,2274,2855,3712
C,GRAYSON,WHITEWRIGHT,RED,1584,1603,1622,1641,1739,1837
C,GRAYSON,WHITEWRIGHT,TRINITY,13,13,13,13,14,15
C,GRAYSON,WOODBINE WSC,TRINITY,84,93,102,113,125,137
C,HENDERSON,ATHENS,TRINITY,14287,15957,17349,19186,33000,50000
C,HENDERSON,BETHEL-ASH WSC,TRINITY,2138,2410,2637,2937,3196,3447
C,HENDERSON,COUNTY-OTHER,TRINITY,3424,2700,2623,2319,2058,1807
C,HENDERSON,EAST CEDAR CREEK FWSD,TRINITY,11036,12000,14568,15773,16973,18161
C,HENDERSON,EUSTACE,TRINITY,1100,1200,1300,1919,2500,3000
C,HENDERSON,GUN BARREL CITY,TRINITY,6000,6500,7000,8211,12500,20000
C,HENDERSON,LOG CABIN,TRINITY,777,834,882,946,1000,1054
C,HENDERSON,MABANK,TRINITY,750,800,850,1025,2000,4000
C,HENDERSON,MALAKOFF,TRINITY,2411,2491,2557,2645,2800,3000
C,HENDERSON,PAYNE SPRINGS,TRINITY,877,977,1060,1170,1300,1600
C,HENDERSON,SEVEN POINTS,TRINITY,1500,1750,2000,2540,3000,3500
C,HENDERSON,TOOL,TRINITY,2438,2618,2769,2968,4500,6000
C,HENDERSON,TRINIDAD,TRINITY,886,886,886,886,1000,1200
C,HENDERSON,VIRGINIA HILL WSC,TRINITY,2526,2898,3208,3617,4000,4500
C,HENDERSON,WEST CEDAR CREEK MUD,TRINITY,10025,10038,10048,10062,12000,15000
C,JACK,BRYSON,BRAZOS,581,620,644,657,666,672
C,JACK,COUNTY-OTHER,BRAZOS,1544,1649,1714,1748,1773,1789
C,JACK,COUNTY-OTHER,TRINITY,2763,2949,3064,3125,3170,3199
C,JACK,JACKSBORO,TRINITY,4863,5191,5395,5503,5581,5631
